Name of publication,Delivery,Address,State,Audience: City/region,Audience,Black-owned?,Contact,Contact type,URL
African American Voice,"""Newspaper, monthly""","3829 Surrey Ln, Colorado Springs, CO 80918",Colorado,Colorado Springs and Denver,African-American,Y,"James Tucker, james.tucker@africanamericanvoice.net",Publisher,https://africanamericanvoice.net/
African Voices Magazine,"Online,Magazine","325 Lafayette Ave, Brooklyn, NY 11238",New York,New York,African,Nonprofit,"Carolyn Butts, africanvoicesart@gmail.com",Founder,africanvoices.com
African-American News and Issues,"""Newspaper, weekly""","6130 Wheatley St, Houston, TX 77091",Texas,Houston,African-American,Y,,,https://aframnews.com/
Afro American Newspapers ,"""Newspaper, weekly""","145 W. Ostend Street Ste 600, Office #536, Baltimore, MD 21230",Maryland,Baltimore,African-American,Y,"Dorothy Boulware, editor@afro.com",Editor,https://afro.com/
Afro-American Criterion,"""Newspaper, weekly""","623-625 William Street, Buffalo, New York 14206",New York,Buffalo,African-American,Y,"Frances Merriweather, criterion@apollo3.com",Publisher,
All Black Business News,"""Online, daily""","463 N Arlington Ave, East Orange, NJ, 07017-3934",New Jersey,New York/New Jersey,African-American,Y,"Abba Onyeani, abbnewsceo@gmail.com",Founder,allblackbusinessnews.com
American Baptist News,"""Newspaper, weekly""","1715 W Chestnut St, Louisville, KY 40203",Kentucky,Louisville,African-American,Y but owned by Baptist church,502.587.8714,General inbox,
American Urban Radio Networks,"Radio,Podcast","938 Penn Avenue Suite 701 Pittsburgh, PA 15222",Nationwide,Nationwide,Black,Y,"Lenore Williams, 412-456-4098","Sr. VP, Program Operations & Affiliations",https://aurn.com
Anointed News Journal,"""Newspaper, weekly""","PO Box 309 Camden, NJ 08101",New Jersey,Camden,General,Y,"Chris Collins, anjeditor@verizon.net",CEO/Editor in Chief,http://www.anointedonline.net
Arizona Informant,"""Newspaper, weekly""","1301 E Washington St Suite 101, Phoenix, AZ 85034",Arizona,Phoenix,African-American,Y,"Cloves Campbell, azinformantnewspaper@gmail.com",Editor,http://azinformant.com/
Ark Republic,Online,"Newark, New Jersey",New Jersey,Nationwide,African-American,Y,"buildwithus@arkrepublic.com, 973-988-5881",General inbox,https://www.arkrepublic.com/
Atlanta Black Star,Online,"Atlanta, GA",Georgia,Atlanta,African-American,Y,info@atlantablackstar.com,General inbox,http://atlantablackstar.com/
Atlanta Daily World,"""Online, daily""","100 Hartsfield Parkway Atlanta, Georgia 30344, United States",Georgia,Atlanta,African-American,Y,"Duane Torrence, dtorrence@atlantatribune.com",Sales manager,https://atlantadailyworld.com/
Atlanta Tribune,"""Magazine, monthly""","1372 Peachtree St, Atlanta, GA 30309",Georgia,Atlanta,African-American,Y,"Katrice Mines, kmines@atlantatribune.com",Senior editor,https://atlantatribune.com/
Austin Weekly News,"""Newspaper, weekly""","141 S. Oak Park Ave., Oak Park, Illinois 60302",Illinois,Chicago,African-American,Nonprofit,"Michael Romain, michael@austinweeklynews.com",Editor,https://www.austinweeklynews.com/
AuthentiKally Naturale,Podcast,"Chattanooga, TN",Tennessee,Nationwide,Black Women,Y,Kasey Freeman and Jasmine Philyaw,Hosts,https://podcasts.apple.com/us/podcast/authentikally-naturale/id1453451153
Bakersfield News Observer,"""Newspaper, weekly""","1219 20th St, Bakersfield, CA 93301",California,Bakersfield,African-American,Y,observernews@gmail.com,General inbox,http://ognsc.com/
Bay Area Review,"""Newspaper, biweekly""","1821 South Bascom Avenue #358. Campbell, CA 95008",California,San Jose/Bay Area,African-American,Y,"Brigitte Jones, advertising@thebayareareview.com",Publisher,https://www.thebayareareview.com/
Bay State Banner,"""Newspaper, weekly""","1100 Washington St, Dorchester Center, MA 02124",Massachusetts,Boston/New England,African-American and Latino,Y,"Melvin Miller, mbm@b-banner.com",Publisher,https://www.baystatebanner.com/
Before You Go,Podcast,"Saint Louis, MO",Nationwide,Nationwide,General,Y,Nicole Franklin & Bryant Monteilh,Hosts,https://before-you-go.simplecast.com
BELLBulletin,Online,"13236 N 7th Street, Suite 4 #544, Phoenix, AZ 85022",Arizona,Phoenix,African-American,Y,"Leah March, publisher, bellbulletinaz@gmail.com",Founder,https://bellbulletin.com
Birmingham Times,"""Newspaper, weekly""","115 3rd Avenue West, Birmingham, AL 35204",Alabama,Birmingham,African-American,Y,"Samuel Martin, smartin@birminghamtimes.com",Publisher,https://www.birminghamtimes.com/
BK Reader,"""Online, daily""","1915 Fulton St, Brooklyn, NY 11233",New York,"Brooklyn, NYC",All-inclusive,Y,"C. Zawadi Morris, czm@bkreader.com",Publisher,bkreader.com
BLAC Detroit Magazine,"""Magazine, monthly""","6200 2nd Ave D-101, Detroit, MI 48202",Michigan,Detroit,African-American,Y,"Billy Strawter, editor@blac.media",Publisher,https://www.blac.media/
Black Agenda Report,Online,N/A,Nationwide,Nationwide,African-American,Y,"Glen Ford, glen.ford@blackagendareport.com",Executive Editor,https://blackagendareport.com
Black American Spring,Online,"Eugene, OR",Oregon,Oregon,Black Community,Y,Chandlor Henderson,Editor-in-Chief,https://theblackamericanspring.com
Black By God,Online,"1002 Lee St E, Charleston, WV 25301 (approximate because online only)",West Virginia,West Virginia,African-American,Y,"Crystal Good, publisher, crystaldawngood@gmail.com",Founder,https://blackbygod.substack.com/
Black Cannabis,Online,N/A,Nationwide,Nationwide,"POC, women, veterans, LGBTQ community",Y,"info@black-cannabis.com, (609) 414-8224",General inbox,https://black-cannabis.com/
Black Catholic Messenger,"""Online, daily""","2209 Dante St., New Orleans, LA 70118",Louisiana,Nationwide,Black Catholic,Y,"Nate Tinner-Williams, co-founder, nate@blackcatholicmessenger.com",Co-founder,https://www.blackcatholicmessenger.com/
Black Farmers Index,Online,"1105 Moss St #90391, Lafayette, LA 70509",Nationwide,Nationwide,General,Y,"foodculture@blackfarmersindex.com, (337) 357-8321",General inbox,https://blackfarmersindex.com/
Black History Everyday,"Online,Smart Speaker",California,Nationwide,Nationwide,Black audiences,Y,"Kiki Monifa, amonifa@gmail.com, 510.847.0720",Founder,https://blackhistoryeveryday.life
