year,built_up,grazing,cropland
-10000,44,0,0
-9000,85,0,0
-8000,170,0,10669.0733
-7000,352,378000.9,1805175.696
-6000,792,12116019,3926068.635
-5000,1859,31768026.51,10365969.13
-4000,8636,48108847.22,27968863.12
-3000,17871,72822940.04,48281144.25
-2000,38393,113470588,72449651.82
-1000,74359,152040699.2,116476490.5
0,194183,243574354.8,196912007.5
100,215792,207881024.4,196653993.2
200,236227,215780089.7,194167953.2
300,235849,216024078,180932569.2
400,267891,230817172.7,177171026.9
500,292406,248804870.1,171873449.3
600,322120,271281259.9,170787479.9
700,338197,289488894.4,169317125.8
800,358636,314313476.5,169271366.9
900,451977,349491490.4,180717117.4
1000,475193,368241416.2,184242654.2
1100,651742,449681092.7,219621007.4
1200,821750,500596338.9,249202165.5
1300,904145,511574741.6,253897439.9
1400,843284,486313449.2,226537623.6
1500,995763,517941593.4,260650897.6
1600,1074621,583553328.8,272604722.7
1700,1209030,667884241.7,294475367.2
1710,1279443,670747701.2,306626988.2
1720,1356363,690514791.7,319310494.8
1730,1425568,706103062.7,330928665.8
1740,1513697,726265927,342333587.3
1750,1638883,756421032.9,357078809.6
1760,1739263,784189960.5,369358855.2
1770,1875506,813901384.8,382375026.1
1780,2037297,862131354.4,397164973.5
1790,2199832,895629026.8,412990508
1800,2288693,916648476,431215650.1
1810,2562032,975965226.6,453943290.2
1820,2769605,1013619803,477296460.7
1830,3092228,1076438985,505313490.1
1840,3443878,1136710964,543160734.7
1850,3967214,1197335220,580494154.7
1860,4627047,1256438596,621904724.7
1870,5110478,1257764567,653011748.5
1880,6055029,1365652824,719457959
1890,7296835,1475989495,782732792
1900,8880214,1663075111,843608693
1910,11570457,1824406573,934616626
1920,12840668,1957257724,982900601
1930,14394417,2133912805,1063988223
1940,15673939,2397010145,1150935807
1950,17622287,2612216077,1223387006
1960,21633083,3009719440,1366055362
1970,26608839,3053535281,1422972022
1980,31307488,3139145118,1453244731
1990,37508614,3272222928,1516732121
2000,44944748,3323222266,1509306389
2001,45737166,3323374028,1518177061
2002,46536305,3319374882,1517080185
2003,47352384,3304727305,1523506664
2004,48190380,3309816587,1535440379
2005,49051294,3300483246,1534205261
2006,49936950,3300985246,1533515350
2007,50817217,3301643639,1525340692
2008,51715076,3299151565,1532388850
2009,52622318,3293125060,1540100533
2010,53557240,3288974217,1531374362
2011,54522953,3291976884,1546085911
2012,55504321,3289472135,1562414590
2013,56492179,3285491703,1559510783
2014,57502946,3285046287,1574981412
2015,58547277,3283588727,1580596135
2016,59563767,3280464178,1592583606
